date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:49:25	803/803	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22323-1675a6b9050%22	https://copay.io/images/icon-applestore.edde3eb1.svg	./copay.io/images/icon-applestore.edde3eb1.svg	(from https://copay.io/)
15:49:26	4942/4942	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22134e-1675a6b9050%22	https://copay.io/images/icon-playstore.52d042c9.svg	./copay.io/images/icon-playstore.52d042c9.svg	(from https://copay.io/)
15:49:27	1158/1158	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22486-1675a6b9050%22	https://copay.io/images/icon-mac-os-x.9a830adb.svg	./copay.io/images/icon-mac-os-x.9a830adb.svg	(from https://copay.io/)
15:49:28	1391/1391	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2256f-1675a6b9050%22	https://copay.io/images/icon-microsoft.3a603316.svg	./copay.io/images/icon-microsoft.3a603316.svg	(from https://copay.io/)
15:49:30	4586/4586	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2211ea-1675a6b9050%22	https://copay.io/images/icon-globe.c465ce57.svg	./copay.io/images/icon-globe.c465ce57.svg	(from https://copay.io/)
15:49:31	223250/223250	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2236812-1675a6b9050%22	https://copay.io/images/icon-linux.838752bb.svg	./copay.io/images/icon-linux.838752bb.svg	(from https://copay.io/)
15:49:31	1842/1842	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22732-1675a6b9050%22	https://copay.io/images/icon-speech.d511e873.svg	./copay.io/images/icon-speech.d511e873.svg	(from https://copay.io/)
15:49:32	1477/1477	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225c5-1675a6b9050%22	https://copay.io/images/icon-wallet-arrow-down.a5e7f527.svg	./copay.io/images/icon-wallet-arrow-down.a5e7f527.svg	(from https://copay.io/)
15:49:33	1731/1731	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226c3-1675a6b9050%22	https://copay.io/images/icon-flow.4ae3b974.svg	./copay.io/images/icon-flow.4ae3b974.svg	(from https://copay.io/)
15:49:36	11694/11694	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%222dae-1675a6b9050%22	https://copay.io/images/copay-logo-white.ab6ad37b.svg	./copay.io/images/copay-logo-white.ab6ad37b.svg	(from https://copay.io/styles/main.990ab075.css)
15:49:36	127944/127944	---MCZ	200	added ('OK')	application/javascript	etag:W/%221f3c8-1675a6b9050%22	https://copay.io/scripts/main.min.c947f9ca.js	./copay.io/scripts/main.min.c947f9ca.js	(from https://copay.io/)
15:49:37	11685/11685	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%222da5-1675a6b9050%22	https://copay.io/images/copay-logo-dark.321a0193.svg	./copay.io/images/copay-logo-dark.321a0193.svg	(from https://copay.io/styles/main.990ab075.css)
15:49:38	6481/6481	---MC-	200	added ('OK')	text/html	date:Thu,%2029%20Nov%202018%2020:49:37%20GMT	https://copay.io/images/apple-touch-icon-precomposed.png	./copay.io/images/apple-touch-icon-precomposed.html	(from https://copay.io/images/universal-network.png)
15:49:39	7893/7893	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%221ed5-1675a6b9050%22	https://copay.io/images/404.f801a170.svg	./copay.io/images/404.f801a170.svg	(from https://copay.io/images/universal-network.png)
